100,0.1,0.0001,101
120,0.12,0.00012,121
130,0.13,0.00013,131
150,0.15,0.00015,151
180,0.18,0.00018,181
200,0.20,0.00020,201
220,0.22,0.00022,221
330,0.33,0.00033,331
390,0.39,0.00039,391
470,0.47,0.00047,471
560,0.56,0.00056,561
680,0.68,0.00068,681
750,0.75,0.00075,751
820,0.82,0.00082,821
1000,1 or 1n,0.001,102
1500,1.5 or 1n5,0.0015,152
2000,2 or 2n,0.002,202
2200,2.2 or 2n2,0.0022,222
3300,3.3 or 3n3,0.0033,332
4700,4.7 or 4n4,0.0047,472
5000,5 or 5n,0.005,502
5600,5.6 or 5n6,0.0056,562
6800,6.8 or 6n8,0.0068,682
10000,10 or 10n,0.01,103
15000,15 or 15n,0.015,153
22000,22 or 22n,0.022,223
33000,33 or 33n,0.033,333
47000,47 or 47n,0.047,473
68000,68 or 68n,0.068,683
100000,100 or 100n,0.1,104
150000,150 or 150n,0.15,154
200000,200 or 200n,0.20,204
220000,220 or 220n,0.22,224
330000,330 or 330n,0.33,334
470000,470 or 470n,0.47,474
680000,680,0.68,684
1000000,1000,1.0,105
4700000,4700 / 4.7u,4.7,475
1500000,1500,1.5,155
2000000,2000,2.0,205
2200000,2200,2.2,225
10000000,10000,10,106
22000000,22000,22,226
