1uf,50V,4x5.3
2.2uf,50V,4x5.3
4.7uf,50V,4x5.3
10uf,16V,4x5.3
10uf,25V,4x5.3
10uf,50V,5x5.3
22uf,16V,4x5.3
22uf,25V,5x5.3
47uf,10V,4x5.3
47uf,16V,5x5.3
47uf,35V,6.3x5.3
47uf,50V,6.3x7.7
100uf,10V,6.3x5.3
100uf,16V,6.3x5.3
100uf,25V,6.3x7.7
100uf,35V,6.3x7.7
100uf,50V,8x10.5
220uf,10V,6.3x5.3
220uf,16V,6.3x7.7
220uf,25V,8x10.5
220uf,35V,8x10.5
220uf,50V,10x10.5
330uf,25V,8x10.5
470uf,6.3V,6.3x7.7
470uf,16V,8x10.5
470uf,25V,10x10.5
470uf,35V,10x10.5
1000uf,10V,10x10.5
1000uf,16V,10x10.5
1000uf,25V,10x14.3
