A1,DDQ
B1,VSSQ
C1,VDDQ
D1,VSSQ
E1,VSS
F1,VDDQ
G1,VSSQ
H1,VREFDQ
J1,NC
K1,ODT
L1,NC
M1,VSS
N1,VDD
P1,VSS
R1,VDD
T1,VSS
A2,DQU5
B2,VDD
C2,DQU3
D2,VDDQ
E2,VSSQ
F2,DQL2
G2,DQL6
H2,VDDQ
J2,VSS
K2,VDD
L2,CS
M2,BA0
N2,A3
P2,AS
R2,A7
T2,RESET
A3,DQU7
B3,VSS
C3,DQU1
D3,DMU
E3,DQL0
F3,DQSL
G3,~DQSL~
H3,DQL4
J3,~RAS~
K3,~CAS~
L3,~WE~
M3,BA2
N3,AO
P3,A2
R3,A9
T3,A13
A7,DAU4
B7,~DQSU~
C7,DQSU
D7,DQU0
E7,DML
F7,DQL1
G7,VDD
H7,DQL7
J7,CK
K7,~CK~
L7,A10/AP
M7,NC
N7,A12/~BC~
P7,A1
R7,A11
T7,NC
A8,VDDQ
B8,DQU6
C8,DQU2
D8,VSSQ
E8,VSSQ
F8,DQL3
G8,VSS
H8,DQL5
J8,VSS
K8,VDD
L8,ZQ
M8,VREFCA
N8,BA1
P8,A4
R8,A6
T8,A8
A9,VSS
B9,VSSQ
C9,VDDQ
D9,VDD
E9,VDDQ
F9,VSSQ
G9,VSSQ
H9,VDDQ
J9,NC
K9,CKE
L9,NC
M9,VSS
N9,VDD
P9,VSS
R9,VDD
T9,VSS
